Date,Last Px,P/C
6/3/15,20.17,1.8337
6/2/15,20.68,1.087
6/1/15,20.36,1.5126
5/29/15,20.31,0.8688
5/28/15,19.56,1.037
5/27/15,19.48,1.5406
5/26/15,19.69,1.7304
5/22/15,20.25,1.4522
5/21/15,20.5,0.8914
5/20/15,19.84,1.0537
5/19/15,19.63,1.8534
5/18/15,20.44,2.1696
5/15/15,20.52,0.9318
5/14/15,20.53,1.3507
5/13/15,20.61,0.8891
5/12/15,20.74,1.4616
5/11/15,20.38,1.6207
5/8/15,20.42,1.0821
5/7/15,20.2,0.9346
5/6/15,20.82,0.7587
5/5/15,20.76,1.048
5/4/15,20.28,1.5886
5/1/15,20.4,0.6683
4/30/15,20.51,0.5958
4/29/15,20.12,0.7213
4/28/15,19.6,0.6398
4/27/15,19.52,1.4465
4/24/15,19.67,1.1225
4/23/15,19.76,1.51
4/22/15,19.36,1.0972
4/21/15,19.45,1.6723
4/20/15,19.89,2.1363
4/17/15,19.84,0.7621
4/16/15,19.94,0.9205
4/15/15,19.71,1.0583
4/14/15,18.82,1.0931
4/13/15,18.5,2.0194
4/10/15,18.41,1.5556
4/9/15,18.03,1.3769
4/8/15,18.07,0.9293
4/7/15,19.06,1.6028
4/6/15,18.43,1.5391
4/2/15,17.56,1.5549
4/1/15,17.58,3.3125
3/31/15,16.84,1.7834
3/30/15,17.23,1.4543
3/27/15,17.14,1.1269
3/26/15,18.21,1.1811
3/25/15,17.36,1.2868
3/24/15,16.79,1.7371
3/23/15,16.78,1.5996
3/20/15,16.43,1.3578
3/19/15,16.08,1.1227
3/18/15,16.76,1.4851
3/17/15,15.96,1.9314
3/16/15,16.35,1.5526
3/13/15,16.8001,1.9979
3/12/15,17.44,2.7915
3/11/15,17.77,1.737
3/10/15,17.91,1.9749
3/9/15,18.35,1.9251
3/6/15,18.24,2.4724
3/5/15,18.71,1.7192
3/4/15,19.01,1.7941
3/3/15,18.49,2.0044
3/2/15,18.32,1.811
2/27/15,18.1,1.3505
2/26/15,18.03,1.9192
